ID,ORIGINAL_NAME,PRODUCT_NAME,PIECES,WEIGHT,MNEMONIC
3402, ,Animalitos,None,g ,LAR
3415, ,Canapinas,None,560g ,LAR
3428, ,Deliciosas,None,g ,LAR
3435, ,Canapinas,None,115g ,LAR
3446, ,Magnas,None,200g ,LAR
3447, ,Deliciosas,None,300g ,LAR
3509, ,Paletina,None,None,NES
3510, ,Saladas,None,140g ,LAR
3518, ,Animalitos,None,200g ,LAR
3525, ,Canapinas,None,95g ,LAR
3526, ,Canapinas,None,95g ,LAR
3530, ,Marias,None,170g ,LAR
3535, ,Decanelas,None,100g ,LAR
3555, ,Deliciosas,None,115g ,LAR
3606, ,Tortilla,18p ,750g ,DH
3609, ,Mantecadas,3p ,None,TR
3621, ,Super,None,740g ,BIM
3631, ,Pan,None,370g ,BIM
3678, ,Bimbollos,8p ,450g ,BIM
3687, ,Medias,None,500g ,BIM
3718, ,Cuernitos,3p ,150g ,TR
3720, ,Bran,None,40g ,BIM
3826, ,Palitrigos,None,100g ,BIM
3894, ,Sponch,8p ,120g ,MLA
3919, ,Barra,None,32g ,BIM
3944, ,Saladas,None,175g ,LAR
3970, ,Tostada,20p ,180g ,DH
3977, ,Bran,6p ,240g ,BIM
3978, ,Bran,6p ,240g ,BIM
4053, ,Bimkingo,None,86g ,LON
4085, ,Triki,8p ,69g ,MLA
4087, ,Lors,None,497g ,MLA
4102, ,Mantecada,3p ,157g ,TR
4109, ,Tortilla,22p ,840g ,DH
4118, ,Tortillas,None,g ,1kg
4126, ,Pan,None,567g ,WON
4135, ,Pan,None,g ,BIM
4136, ,Pasteles,None,g ,MLA
4139, ,Pan,None,g ,BIM
4150, ,Bollo,6p ,585g ,BIM
4152, ,Medias,12p ,510g ,BIM
4153, ,Pan,None,640g ,BIM
4169, ,Mantecadas,2p ,5g ,BIM
4189, ,Sponch,None,120g ,MLA
4190, ,Sponch,None,120g ,MLA
4220, ,Bigotes,None,60g ,TR
4221, ,Bigotes,None,60g ,TR
4234, ,Div,4p ,45g ,TR
4240, ,Mantecadas,2p ,None,TR
4245, ,Conchas,2p ,120g ,TR
4259, ,Conchas,3p ,180g ,TR
4270, ,Cuernitos,None,100g ,TR
4280, ,Doraditas,None,110g ,TR
4301, ,Medias,8p ,340g ,BIM
4304, ,Mantecadas,2p ,95g ,TR
4385, ,Tostada,30p ,360g ,MR
4468, ,Wonder,None,680g ,WON
4477, ,Tostada,20p ,240g ,MR
4482, ,Chocochispas,None,220g ,LAR
4512, ,Bollos,6p ,489g ,SL
4513, ,Bollos,6p ,345g ,SL
4514, ,Medias,6p ,470g ,SL
4624, ,Cajeta,None,660g ,COR
4733, ,Bimkingo,None,86g ,LON
4767, ,Tostado,None,250g ,BIM
4773, ,Tostada,30p ,360g ,MR
4774, ,Pan,None,640g ,BIM
4820, ,Super,12p ,650g ,WON
4838, ,Pan,None,680g ,BIM
4859, ,Sandwichon,None,115g ,LON
4910, ,Empanizador,None,175g ,BIM
4919, ,Cajeta,None,660g ,COR
4943, ,Canelitas,None,250g ,MLA
4944, ,Bimbolunch,6p ,354g ,BIM
4946, ,Panera,14p ,65g ,TR
4947, ,Baguette,None,g ,DH
5000, ,Gansito,1p ,50g ,MLA
5015, ,Triki,None,69g ,MLA
5052, ,Nito,1p ,62g ,BIM
5200, ,Coca,None,355ml ,CC
5223, ,Coca,None,355ml ,CC
5277, ,Barra,6p ,192g ,BIM
5310, ,Gansito,None,50g ,MLA
5328, ,Submarinos,3p ,105g ,MLA
5337, ,Submarinos,3p ,105g ,MLA
5340, ,Choco,2p ,80g ,MLA
5345, ,Rollo,2p ,None,MLA
5350, ,Pay,1p ,85g ,MLA
5354, ,Pay,1p ,70g ,MLA
5355, ,Napolitano,1p ,70g ,MLA
5371, ,Bombonete,None,55g ,MLA
5376, ,Rocko,10p ,44g ,MLA
5380, ,Pinguinos,2p ,80g ,MLA
5386, ,Choco,2p ,80g ,MLA
5410, ,Canelitas,6p ,60g ,MLA
5414, ,Canelitas,None,250g ,MLA
5422, ,Triki,27p ,225g ,MLA
5423, ,Plativolos,None,193g ,MLA
5430, ,Triki,6p ,50g ,MLA
5434, ,Sponch,6p ,90g ,MLA
5453, ,Suavicremas,None,205g ,MLA
5454, ,Suavicremas,None,205g ,MLA
5456, ,Suavicremas,None,205g ,MLA
5460, ,Polvorones,4p ,75g ,MLA
5463, ,Polvoron,None,280g ,MLA
5470, ,Principe,None,205g ,MLA
5496, ,Plativolos,None,300g ,MLA
5543, ,Gansito,5p ,250g ,MLA
5544, ,Pinguinos,6p ,240g ,MLA
5545, ,Choco,7p ,5g ,MLA
5576, ,Triki,None,25g ,MLA
5621, ,Submarinos,3p ,105g ,MLA
5707, ,Tostada,30p ,None,MR
5708, ,Polvoron,12p ,900g ,MLA
5709, ,Plativolos,12p ,522g ,MLA
5710, ,Canelitas,12p ,720g ,MLA
5711, ,Sponch,None,540g ,MLA
5712, ,Triki,None,600g ,MLA
5713, ,Principe,None,610g ,MLA
5714, ,Suavicremas,None,480g ,MLA
5715, ,Barritas,12p ,804g ,MLA
5716, ,Barritas,12p ,768g ,MLA
5717, ,Suavicremas,None,480g ,MLA
5718, ,Suavicremas,None,480g ,MLA
5901, ,Chocotorro,1p ,50g ,MLA
5917, ,Burritos,None,191g ,LON
5918, ,Burritos,None,186g ,LON
5919, ,Burritos,None,197g ,LON
5921, ,Burritos,None,208g ,LON
5948, ,Base,None,g ,MLA
6066, ,Frute,None,54g ,MLA
6085, ,Tostada,30p ,g ,MR
6177, ,Chicharron,None,36g ,BAR
6420, ,Tortilla,None,g ,BAR
6437, ,Takis,None,62g ,BAR
6456, ,Churritos,None,49g ,BAR
6469, ,Totopos,None,280g ,DH
6476, ,Tostachos,None,70g ,BAR
6490, ,Chipotles,None,52g ,BAR
6500, ,Burritos,None,186g ,LON
6502, ,Burritos,None,197g ,LON
6503, ,Burritos,None,208g ,LON
6505, ,Burritos,None,191g ,LON
6507, ,Bimkingo,None,135g ,LON
6555, ,Takis,None,62g ,BAR
6566, ,Bimkingo,None,86g ,LON
6633, ,Pan,None,150g ,BIM
6645, ,Tortinachos,None,g ,MR
6657, ,Sandwichon,None,115g ,LON
6667, ,Bimkingo,None,135g ,LON
6700, ,Totopos,None,350g ,MR
6820, ,Golden,None,20g ,BAR
7144, ,Bollos,8p ,425g ,SL
7145, ,Hot,16p ,570g ,SL
7340, ,Bimkingo,None,g ,LON
7342, ,Sandwichon,None,115g ,LON
7724, ,Panditas,None,5g ,RIC
7761, ,Bubulubu,None,20g ,RIC
7814, ,Kranky,None,40g ,RIC
7829, ,Bubulubu,1p ,35g ,RIC
7884, ,Almendras,None,35g ,RIC
8766, ,Cajeta,None,g ,COR
8768, ,Cajeta,None,g ,COR
8825, ,Obleas,10p ,None,COR
8863, ,Medias,p ,1775g ,SL
8864, ,Bollos,20p ,1730g ,SL
8865, ,Bollos,30p ,1635g ,SL
8874, ,Tortilla,10p ,260g ,DH
8921, ,Tortilla,10p ,260g ,DH
8931, ,Medias,None,290g ,BIM
8940, ,Tortilla,10p ,260g ,DH
9082, ,Dalmata,1p ,55g ,MLA
9197, ,Barritas,None,32g ,MLA
9217, ,Cuernitos,3p ,150g ,TR
9248, ,Dulcigomas,None,49g ,RIC
9249, ,Canelitas,None,30g ,MLA
9302, ,Principe,None,5g ,MLA
9416, ,Chocoretas,None,10g ,RIC
9699, ,Mentho,None,30g ,RIC
9711, ,Oatnut,None,680g ,ORO
9717, ,Pan,None,680g ,ORO
9753, ,100pct,None,680g ,ORO
9756, ,Butter,None,680g ,ORO
9764, ,Bubulubu,None,70g ,RIC
9798, ,Chicks,None,1470g ,CHK
9853, ,Pasteles,None,500g ,MLA
9869, ,Pan,None,470g ,BIM
30007, ,Duo,None,124g ,BIM
30008, ,Duo,None,124g ,BIM
30009, ,Submarinos,3p ,105g ,MLA
30010, ,Submarinos,3p ,105g ,MLA
30011, ,Submarinos,3p ,105g ,MLA
30012, ,Submarinos,3p ,105g ,MLA
30014, ,Submarinos,3p ,105g ,MLA
30015, ,Submarinos,3p ,105g ,MLA
30091, ,Raztachoc,1p ,40g ,BIM
30092, ,Raztachoc,1p ,40g ,BIM
30099, ,Camioncitos,None,None,BIM
30100, ,Trailer,None,20g ,BIM
30110, ,Takis,None,56g ,BAR
30111, ,Takis,None,56g ,BAR
30112, ,Takis,None,56g ,BAR
30137, ,Napi,None,25g ,MLA
30172, ,Medias,8p ,340g ,BIM
30173, ,Medias,8p ,340g ,BIM
30177, ,Bran,6p ,240g ,BIM
30178, ,Bran,6p ,240g ,BIM
30187, ,Sprite,24p ,355ml ,CC
30189, ,Fresca,24p ,355ml ,CC
30190, ,Fanta,24p ,355ml ,CC
30191, ,Manzana,24p ,355ml ,CC
30194, ,Tostada,30p ,360g ,MR
30195, ,Tostada,30p ,360g ,MR
30214, ,Tartinas,8p ,104g ,TR
30215, ,Tartinas,8p ,104g ,TR
30218, ,Bran,None,48g ,BIM
30227, ,Tortilla,10p ,220g ,DH
30235, ,Barritas,8p ,600g ,MLA
30236, ,Barritas,8p ,600g ,MLA
30249, ,Tartinas,8p ,104g ,TR
30250, ,Tartinas,8p ,104g ,TR
30251, ,Tartinas,8p ,104g ,TR
30252, ,Tartinas,8p ,104g ,TR
30265, ,Bran,None,48g ,BIM
30266, ,Bran,None,48g ,BIM
30280, ,Camioncito,None,None,BIM
30289, ,Pan,None,567g ,BIM
30302, ,Tostado,None,210g ,BIM
30305, ,Tostado,None,210g ,BIM
30306, ,Tostado,None,210g ,BIM
30314, ,Canelitas,None,360g ,MLA
30315, ,Polvorones,None,450g ,MLA
30332, ,Leche,24p ,None,MLA
30349, ,Mini,None,30g ,MLA
30354, ,Polvorones,None,113g ,MLA
30355, ,Polvorones,None,113g ,MLA
30370, ,Tortillinas,12p ,310g ,TR
30371, ,Tortillinas,12p ,310g ,TR
30372, ,Tortillinas,12p ,310g ,TR
30374, ,Tostado,None,270g ,BIM
30375, ,Tostado,None,270g ,BIM
30376, ,Tostado,None,270g ,BIM
30378, ,Agua,12p ,600ml ,CC
30379, ,Agua,24p ,600ml ,CC
30380, ,Agua,12p ,600ml ,CC
30381, ,Agua,24p ,600ml ,CC
30383, ,Agua,24p ,600ml ,CC
30384, ,Coca,12p ,355ml ,CC
30385, ,Coca,12p ,355ml ,CC
30387, ,Manzana,12p ,355ml ,CC
30393, ,Powerade,12p ,600ml ,CC
30397, ,Barra,6p ,31g ,MP
30399, ,Lata,None,454g ,GBI
30403, ,Pan,None,370g ,BIM
30408, ,Choco,2p ,67g ,MLA
30409, ,Empanaditas,20p ,506g ,DH
30413, ,Tortillinas,20p ,1020g ,TR
30415, ,Polvoroncitos,8p ,130g ,TR
30416, ,Polvoroncitos,8p ,130g ,TR
30417, ,Polvoroncitos,8p ,130g ,TR
30418, ,Silueta,None,22g ,BIM
30419, ,Silueta,None,22g ,BIM
30421, ,Silueta,6p ,132g ,BIM
30422, ,Silueta,6p ,132g ,BIM
30423, ,Silueta,6p ,132g ,BIM
30424, ,Silueta,6p ,132g ,BIM
30437, ,Rocks,6p ,45g ,MLA
30461, ,Barra,None,25g ,BIM
30473, ,Mi,None,25g ,MLA
30475, ,Mini,5p ,65g ,TR
30477, ,Panque,None,255g ,BIM
30505, ,Tortillinas,22p ,570g ,TR
30506, ,Tortillinas,22p ,570g ,TR
30507, ,Tortillinas,22p ,570g ,TR
30531, ,Principe,10p ,106g ,MLA
30532, ,Principe,10p ,106g ,MLA
30533, ,Principe,10p ,106g ,MLA
30543, ,Principe,10p ,110g ,MLA
30544, ,Principe,10p ,110g ,MLA
30548, ,Suavicremas,None,84g ,MLA
30549, ,Suavicremas,None,84g ,MLA
30550, ,Suavicremas,None,84g ,MLA
30551, ,Suavicremas,None,84g ,MLA
30552, ,Suavicremas,None,84g ,MLA
30553, ,Suavicremas,None,84g ,MLA
30554, ,Suavicremas,None,84g ,MLA
30555, ,Suavicremas,None,84g ,MLA
30556, ,Suavicremas,None,84g ,MLA
30562, ,Sandwich,None,112g ,LON
30566, ,Joya,None,355ml ,CC
30567, ,Joya,None,355ml ,CC
30568, ,Barritas,None,67g ,MLA
30569, ,Barritas,None,67g ,MLA
30570, ,Barritas,None,67g ,MLA
30571, ,Barritas,None,67g ,MLA
30572, ,Barritas,None,67g ,MLA
30573, ,Barritas,None,67g ,MLA
30574, ,Barritas,None,67g ,MLA
30575, ,Barritas,None,67g ,MLA
30576, ,Barritas,None,67g ,MLA
30581, ,Cuernito,None,80g ,LON
30582, ,Sandwich,None,90g ,LON
30584, ,Sand,None,86g ,LON
30593, ,Lata,6p ,400g ,GBI
30594, ,Lata,6p ,400g ,GBI
30595, ,Lata,6p ,400g ,GBI
30599, ,Wonder,None,680g ,WON
30626, ,Rosca,None,430g ,TR
30646, ,Bombonete,None,55g ,MLA
30693, ,Polvoroncitos,8p ,130g ,TR
30694, ,Polvoroncitos,8p ,130g ,TR
30700, ,Barra,None,35g ,ORO
30706, ,Bimbollos,6p ,480g ,BIM
30707, ,Empanaditas,20p ,506g ,DH
30723, ,Tuinky,4p ,152g ,WON
30735, ,Leche,None,236ml ,BIM
30746, ,Tostada,20p ,350g ,KOD
30749, ,Tostada,50p ,585g ,DH
30751, ,Barra,6p ,224g ,BIM
30772, ,Tortilla,20p ,550g ,TR
30773, ,Agua,12p ,600ml ,CC
30784, ,Barra,1p ,34g ,BIM
30785, ,Barra,1p ,32g ,BIM
30805, ,Cuernitos,3p ,150g ,TR
30813, ,Pipucho,None,50g ,MLA
30814, ,Pipucho,None,49g ,MLA
30815, ,Barra,1p ,34g ,BIM
30827, ,Surtido,None,340g ,MP
30830, ,Barra,1p ,32g ,BIM
30831, ,Barra,1p ,32g ,BIM
30832, ,Barra,1p ,32g ,BIM
30859, ,Bisquet,None,115g ,TR
30871, ,Empanaditas,20p ,None,DH
30877, ,Duo,None,50g ,MLA
30888, ,Empanaditas,20p ,None,DH
30900, ,Sandwich,None,90g ,LON
30904, ,Sandwich,None,112g ,LON
30906, ,Cuernito,None,80g ,LON
30916, ,Barri,12p ,37g ,BIM
30917, ,Barri,None,37g ,BIM
30919, ,Saladas,None,175g ,LAR
30946, ,Bimbunuelos,2p ,33g ,BIM
30954, ,Submarinos,4p ,140g ,MLA
30957, ,Totopo,None,200g ,MR
30958, ,Empanzador,None,None,BIM
30971, ,Tartinas,8p ,104g ,TR
30972, ,Tartinas,8p ,104g ,TR
30973, ,Rielito,None,65g ,TR
30980, ,Bolsa,None,100g ,TR
30999, ,Duo,None,88g ,MLA
31001, ,Duo,None,88g ,MLA
31003, ,Mask,6p ,27g ,MSK
31004, ,Mask,6p ,27g ,MSK
31005, ,Tartinas,8p ,104g ,TR
31006, ,Tartinas,8p ,104g ,TR
31013, ,Gansi,1p ,50g ,MLA
31015, ,Gansi,1p ,50g ,MLA
31031, ,Tartinas,8p ,104g ,TR
31032, ,Tartinas,8p ,104g ,TR
31033, ,Tartinas,8p ,104g ,TR
31067, ,Roscas,None,32g ,GBI
31075, ,Galleta,8p ,100g ,TR
31077, ,Galleta,8p ,100g ,TR
31080, ,Submarinos,4p ,140g ,MLA
31082, ,Submarinos,4p ,140g ,MLA
31083, ,Submarinos,4p ,140g ,MLA
31089, ,Chips,None,46g ,BAR
31095, ,Conchas,3p ,180g ,TR
31098, ,Cuernitos,3p ,150g ,TR
31100, ,Cuernitos,3p ,150g ,TR
31103, ,Doraditas,4p ,147g ,TR
31118, ,Choco,3p ,101g ,MLA
31119, ,Choco,3p ,101g ,MLA
31120, ,Choco,3p ,101g ,MLA
31123, ,Lonchera,None,284g ,GBI
31142, ,Gansito,6p ,300g ,MLA
31145, ,Gansito,6p ,312g ,MLA
31147, ,Tortilla,10p ,220g ,DH
31149, ,Barra,2p ,32g ,BIM
31150, ,Barra,2p ,32g ,BIM
31170, ,Tortilla,15p ,410g ,DH
31177, ,Bollos,6p ,489g ,SL
31184, ,Tostada,None,216g ,SAN
31186, ,Tostada,None,216g ,SAN
31187, ,Tostada,None,240g ,SAN
31188, ,Tostada,None,240g ,SAN
31189, ,Tostadita,None,120g ,SAN
31190, ,Tostadita,None,120g ,SAN
31191, ,Tostadita,None,184g ,SAN
31192, ,Tostada,None,100g ,SAN
31194, ,Tostada,None,150g ,SAN
31197, ,Tostada,None,240g ,SAN
31198, ,Salmas,None,144g ,SAN
31199, ,Salmas,None,144g ,SAN
31200, ,Salmas,None,414g ,SAN
31201, ,Nachos,None,250g ,SAN
31203, ,Tostada,None,200g ,SAN
31207, ,Tostada,None,600g ,SAN
31211, ,Churritos,None,60g ,BAR
31221, ,Mini,3p ,75g ,MLA
31222, ,Mini,3p ,75g ,MLA
31231, ,Barra,6p ,198g ,BIM
31232, ,Barra,6p ,198g ,BIM
31245, ,Bran,20p ,None,BIM
31246, ,Bubulubu,None,70g ,RIC
31267, ,DuoPack,None,480g ,BIM
31274, ,Roles,4p ,240g ,BIM
31277, ,Rebanada,4p ,110g ,BIM
31278, ,Rebanada,4p ,110g ,BIM
31279, ,Rebanada,4p ,110g ,BIM
31283, ,Bimbunuelos,6p ,99g ,BIM
31284, ,Bimbunuelos,6p ,99g ,BIM
31298, ,Duo,None,210g ,TR
31299, ,Duo,None,210g ,TR
31307, ,Tostado,None,250g ,BIM
31309, ,Canelitas,None,90g ,MLA
31310, ,Canelitas,None,90g ,MLA
31311, ,Canelitas,None,90g ,MLA
31313, ,Duo,None,170g ,LAR
31315, ,Gansi,1p ,50g ,MLA
31316, ,Gansi,1p ,50g ,MLA
31319, ,Hot,None,g ,BIM
31320, ,Barra,12p ,None,BIM
31322, ,Bran,18p ,None,BIM
31333, ,Mini,None,120g ,GBI
31338, ,Lors,8p ,74g ,MLA
31339, ,Lors,8p ,74g ,MLA
31340, ,Plativolos,8p ,64g ,MLA
31341, ,Plativolos,8p ,64g ,MLA
31392, ,Pan,None,640g ,BIM
31393, ,Pan,None,640g ,BIM
31394, ,Pan,None,640g ,BIM
31403, ,Tortillinas,10p ,275g ,TR
31420, ,Bran,None,55g ,BIM
31421, ,Bran,None,55g ,BIM
31423, ,Donas,10p ,158g ,BIM
31445, ,Barra,12p ,384g ,BIM
31447, ,Duo,None,60g ,BIM
31457, ,Mantecadas,6p ,188g ,BIM
31466, ,Principe,14p ,152g ,MLA
31467, ,Principe,14p ,152g ,MLA
31468, ,Lors,18p ,148g ,MLA
31469, ,Lors,18p ,148g ,MLA
31470, ,Triki,20p ,174g ,MLA
31471, ,Triki,20p ,174g ,MLA
31473, ,Salmas,None,360g ,SAN
31474, ,Salmas,None,108g ,SAN
31476, ,Tripack,None,200g ,SAN
31484, ,Plativolos,18p ,144g ,MLA
31485, ,Plativolos,18p ,144g ,MLA
31497, ,Thins,None,340g ,ORO
31498, ,Thins,None,340g ,ORO
31499, ,Thins,None,340g ,ORO
31500, ,Thins,None,340g ,ORO
31502, ,Tostado,None,250g ,BIM
31504, ,Tostado,None,250g ,BIM
31506, ,Polvoron,6p ,113g ,MLA
31507, ,Polvoron,6p ,113g ,MLA
31508, ,Polvoron,6p ,113g ,MLA
31510, ,Canelitas,50p ,275g ,MLA
31511, ,Canelitas,33p ,180g ,MLA
31512, ,Canelitas,33p ,180g ,MLA
31513, ,Polvorones,18p ,250g ,MLA
31514, ,Polvorones,18p ,250g ,MLA
31516, ,Polvorones,27p ,385g ,MLA
31518, ,Plativolos,None,691g ,MLA
31519, ,Polvorones,None,1058g ,MLA
31520, ,Principe,None,719g ,MLA
31524, ,Salmas,None,108g ,SAN
31535, ,Medias,10p ,430g ,BIM
31574, ,Galleta,12p ,150g ,TR
31575, ,Polvoroncitos,12p ,195g ,TR
31579, ,Suavicremas,None,237g ,MLA
31580, ,Suavicremas,None,237g ,MLA
31581, ,Suavicremas,None,237g ,MLA
31582, ,Suavicremas,None,158g ,MLA
31583, ,Suavicremas,None,237g ,MLA
31584, ,Suavicremas,None,237g ,MLA
31585, ,Suavicremas,None,237g ,MLA
31586, ,Suavicremas,None,158g ,MLA
31587, ,Suavicremas,None,237g ,MLA
31588, ,Suavicremas,None,237g ,MLA
31589, ,Suavicremas,None,237g ,MLA
31590, ,Suavicremas,None,158g ,MLA
31593, ,Polvorones,None,605g ,MLA
31594, ,Triki,None,417g ,MLA
31596, ,Sponch,None,675g ,MLA
